"itnb" "S" "rS" "E" "D" "c" "r" "TPR" "FDR" "nbSNPS" "nbADA" "s" "gamma" "envADA"
15 50 50 5 "ran" 0.5 15 0 1 1000 20 "0.28_0.12_0.21_0.16_0.23_0.1_0.25_0.14_0.21_0.14_0.14_0.28_0.21_0.18_0.26_0.23_0.21_0.17_0.1_0.15" "0.28_0.47_0.12_0.41_0.46_0.03_0.07_0.26_0.15_0.41_0.43_0.32_0.25_0.18_0.23_0.13_0.04_0.46_0_0.12" "BIO2.BIO4.ALTI.BIO4.ALTI.BIO1.BIO1.BIO1.BI12.BIO1.BI18.BI15.BIO4.BI18.BI12.BIO8.BI15.BIO2.BI12.BIO8"
16 50 50 5 "ran" 0.5 16 0 1 1000 8 "0.2_0.25_0.27_0.25_0.1_0.28_0.13_0.13" "0.34_0.21_0.13_0.42_0.03_0.35_0.27_0.29" "BI12.BI18.ALTI.ALTI.BIO1.BIO4.BI12.BI12"
17 50 50 5 "ran" 0.5 17 0 1 1000 12 "0.1_0.27_0.27_0.27_0.24_0.27_0.16_0.14_0.28_0.21_0.25_0.25" "0.48_0.17_0.34_0.16_0.29_0.25_0.26_0.12_0.04_0.05_0.29_0.36" "BI12.BIO8.BIO1.BI18.BI18.BIO8.BIO8.BI12.BI15.BIO8.BI18.BIO1"
18 50 50 5 "ran" 0.5 18 0 1 1000 17 "0.26_0.14_0.14_0.2_0.23_0.1_0.27_0.19_0.29_0.22_0.26_0.24_0.29_0.16_0.12_0.25_0.15" "0.4_0.03_0.12_0.42_0.14_0.38_0.21_0.46_0.45_0.11_0.09_0.45_0.06_0.04_0.33_0.32_0.37" "ALTI.BIO4.BIO1.BI15.BI12.BIO2.BIO8.BIO1.BI12.BIO4.BIO2.BI15.ALTI.BIO2.BIO4.BIO8.ALTI"
19 50 50 5 "ran" 0.5 19 0 1 1000 17 "0.24_0.29_0.13_0.3_0.25_0.17_0.2_0.2_0.2_0.12_0.19_0.15_0.12_0.21_0.19_0.25_0.25" "0.29_0.43_0.12_0.5_0.22_0.4_0.21_0.44_0.33_0.24_0.37_0.26_0.4_0.25_0.39_0.33_0.09" "ALTI.BIO1.BIO1.BIO2.BI12.ALTI.BIO2.BIO4.BI12.ALTI.BI12.BIO8.BI18.BI18.BI15.ALTI.BIO4"
20 50 50 5 "ran" 0.5 20 0 1 1000 16 "0.29_0.15_0.19_0.11_0.11_0.13_0.26_0.29_0.17_0.27_0.21_0.16_0.12_0.16_0.23_0.15" "0.02_0.43_0.47_0.03_0.37_0.46_0.07_0.15_0.19_0.06_0.14_0.21_0.45_0.25_0.48_0.21" "BIO2.BIO2.BIO1.BI18.ALTI.BIO1.BI18.BI18.BIO2.BIO2.BI12.ALTI.BIO2.BI12.BIO2.BI18"
21 50 50 5 "geo" 0.5 1 0 1 1000 13 "0.21_0.16_0.16_0.28_0.25_0.11_0.24_0.25_0.26_0.23_0.25_0.25_0.26" "0.15_0_0.01_0.05_0.09_0.13_0.37_0.32_0.02_0.16_0.46_0.39_0.01" "BIO4.BIO2.BIO4.BI18.BIO1.BIO8.BIO2.BIO8.ALTI.BIO1.BIO8.BI18.BI15"
22 50 50 5 "geo" 0.5 2 0 1 1000 15 "0.3_0.14_0.25_0.11_0.2_0.11_0.22_0.1_0.15_0.2_0.19_0.25_0.19_0.3_0.13" "0.04_0.06_0.09_0.01_0.27_0.15_0.04_0.22_0.44_0.01_0.02_0.35_0.07_0.12_0.28" "BIO2.BIO1.BI12.BIO8.BIO2.BI18.BI15.BIO8.BI12.BIO2.ALTI.BI12.BIO2.BI12.BI18"
23 50 50 5 "geo" 0.5 3 0 1 1000 11 "0.14_0.2_0.23_0.14_0.29_0.12_0.16_0.28_0.28_0.18_0.19" "0.39_0.32_0.43_0.11_0.44_0.03_0.41_0.28_0.38_0.09_0.24" "BI15.BIO4.BIO4.ALTI.BI18.BIO1.BIO4.BI12.BI12.BI15.BIO2"
24 50 50 5 "geo" 0.5 4 0 1 1000 7 "0.18_0.21_0.21_0.28_0.29_0.18_0.26" "0.13_0.22_0.2_0.25_0.42_0.01_0.43" "BIO4.BIO8.ALTI.BIO4.BI18.BIO2.BI12"
25 50 50 5 "geo" 0.5 5 0 1 1000 19 "0.27_0.14_0.2_0.14_0.16_0.18_0.16_0.15_0.11_0.22_0.15_0.23_0.13_0.1_0.22_0.25_0.21_0.2_0.23" "0.3_0.49_0.22_0.49_0.27_0.34_0.07_0.01_0.37_0.37_0.2_0.14_0.13_0.31_0.46_0.48_0.41_0.04_0.25" "ALTI.ALTI.BI18.BIO2.BIO1.BIO2.BIO2.BIO1.BIO2.BI12.BIO2.BIO8.BI18.BI15.BIO1.BIO8.ALTI.BI12.BIO1"
26 50 50 5 "geo" 0.5 6 0 1 1000 20 "0.14_0.19_0.13_0.29_0.25_0.26_0.18_0.14_0.21_0.21_0.19_0.25_0.19_0.25_0.27_0.12_0.25_0.3_0.1_0.29" "0.01_0.04_0.27_0.15_0.18_0.18_0.39_0.04_0.37_0.31_0.18_0.05_0.37_0.06_0.45_0.44_0.32_0.16_0.11_0.42" "BI15.BI12.BIO4.BIO8.ALTI.ALTI.BIO8.BIO8.BIO2.BI12.BI12.BI15.BIO4.BI12.BIO4.ALTI.BI12.BIO8.BIO8.BIO4"
27 50 50 5 "geo" 0.5 7 0 1 1000 19 "0.14_0.22_0.24_0.16_0.21_0.27_0.28_0.28_0.1_0.12_0.16_0.16_0.14_0.1_0.13_0.13_0.23_0.19_0.18" "0.43_0.06_0.18_0.16_0.44_0.1_0.46_0.26_0.07_0.1_0.37_0.43_0.05_0.26_0.4_0.08_0.18_0.14_0.25" "BI12.BIO4.BIO1.BI18.BIO8.BIO2.BIO2.BI15.BIO2.BI15.BIO8.ALTI.BI15.BIO2.BI15.BIO1.BIO1.BIO1.BI12"
28 50 50 5 "geo" 0.5 8 0 1 1000 20 "0.16_0.11_0.27_0.14_0.25_0.28_0.12_0.21_0.15_0.29_0.22_0.22_0.11_0.3_0.13_0.12_0.15_0.15_0.22_0.15" "0.29_0.44_0.21_0.26_0.28_0.29_0.42_0.44_0.12_0.05_0.33_0.42_0.22_0.36_0.24_0.07_0.16_0.31_0.25_0.11" "BIO2.ALTI.BIO2.BIO2.BI12.BIO8.BIO2.BI18.BI15.BIO1.BIO4.BIO1.BIO1.BI12.BIO4.ALTI.BIO8.BI12.ALTI.ALTI"
29 50 50 5 "geo" 0.5 9 0 1 1000 17 "0.2_0.13_0.23_0.18_0.29_0.24_0.11_0.19_0.2_0.26_0.29_0.2_0.28_0.23_0.19_0.28_0.16" "0.5_0.11_0_0_0.26_0.42_0.15_0.29_0.31_0.4_0.01_0.43_0.41_0.29_0.32_0.2_0.11" "BIO8.ALTI.BIO4.BIO4.BI18.BIO1.ALTI.BI15.BIO2.BIO1.BIO2.BIO4.BIO1.BIO4.BI18.BIO8.ALTI"
30 50 50 5 "geo" 0.5 10 0 1 1000 13 "0.11_0.19_0.3_0.3_0.19_0.11_0.24_0.26_0.28_0.25_0.17_0.22_0.29" "0.23_0.36_0.33_0.36_0.4_0.1_0.09_0.16_0.03_0.44_0.03_0.09_0.15" "BIO4.ALTI.BI18.BI18.BI12.BI12.BIO8.ALTI.BI18.BIO2.BIO1.BIO1.BI18"
31 50 50 5 "geo" 0.5 11 0 1 1000 9 "0.27_0.25_0.22_0.13_0.1_0.2_0.19_0.2_0.1" "0.06_0.15_0.02_0.49_0.41_0.26_0.04_0.02_0.12" "BIO8.BIO8.BIO4.BIO2.BIO8.BI18.BI18.BIO8.ALTI"
32 50 50 5 "geo" 0.5 12 0 1 1000 20 "0.11_0.11_0.26_0.26_0.23_0.18_0.23_0.14_0.15_0.22_0.26_0.26_0.22_0.22_0.16_0.17_0.23_0.25_0.21_0.21" "0.42_0.35_0.4_0.35_0.13_0.36_0.5_0.12_0.12_0.16_0.48_0.03_0.06_0.27_0.21_0.03_0.14_0.41_0.24_0.42" "BIO8.ALTI.BI12.BIO1.BI12.BIO2.BIO2.BI18.BIO8.BIO2.BIO2.BI12.BIO1.BI18.BI12.BI18.BI15.BIO1.BIO8.BIO8"
33 50 50 5 "geo" 0.5 13 0 1 1000 20 "0.23_0.22_0.3_0.13_0.12_0.22_0.18_0.3_0.18_0.22_0.18_0.21_0.24_0.26_0.14_0.21_0.25_0.28_0.28_0.28" "0.32_0.11_0.5_0.1_0.02_0.02_0.21_0.33_0.03_0.4_0.12_0.07_0.24_0.03_0.04_0.48_0.12_0.21_0.41_0.3" "BI15.BIO8.BIO8.BIO1.BI18.BI15.BIO2.BIO1.BI12.BIO1.BIO1.BI15.BIO4.BIO1.BIO8.BIO1.BI12.BI18.BIO4.BI18"
34 50 50 5 "geo" 0.5 14 0 1 1000 6 "0.14_0.12_0.17_0.15_0.19_0.22" "0.35_0.33_0.32_0.33_0.46_0.49" "BIO8.BI18.ALTI.BIO2.BIO2.BIO8"
35 50 50 5 "geo" 0.5 15 0 1 1000 9 "0.14_0.28_0.19_0.1_0.27_0.18_0.18_0.19_0.14" "0.09_0.35_0.35_0.01_0_0.14_0.49_0.47_0.06" "BIO1.BIO1.BIO1.BIO2.ALTI.BIO1.BIO2.BIO1.ALTI"
36 50 50 5 "geo" 0.5 16 0 1 1000 18 "0.2_0.16_0.17_0.15_0.11_0.12_0.19_0.2_0.28_0.12_0.23_0.24_0.14_0.1_0.2_0.22_0.26_0.15" "0.31_0.01_0.31_0.39_0.06_0.13_0.03_0_0.05_0.49_0.42_0.22_0.09_0.25_0.47_0.49_0.11_0.5" "BI18.BIO8.BIO1.BI15.ALTI.BIO1.BIO4.BIO4.ALTI.ALTI.ALTI.BI18.BIO4.BI15.BIO1.BI15.BI18.BIO4"
37 50 50 5 "geo" 0.5 17 0 1 1000 11 "0.13_0.27_0.12_0.18_0.13_0.3_0.21_0.27_0.19_0.16_0.27" "0.16_0.23_0.47_0.04_0.31_0.06_0.19_0_0.17_0.24_0.42" "ALTI.BIO8.BI12.BIO4.ALTI.BI18.BIO4.ALTI.BIO4.BI12.ALTI"
38 50 50 5 "geo" 0.5 18 0 1 1000 18 "0.25_0.21_0.22_0.14_0.12_0.23_0.3_0.24_0.28_0.1_0.17_0.25_0.19_0.22_0.29_0.11_0.3_0.11" "0.23_0.42_0.03_0.38_0.31_0.01_0.28_0.34_0.48_0.39_0.27_0.16_0.21_0.3_0.47_0.37_0.39_0.18" "BIO1.BI12.BIO8.BI18.BIO4.BI18.BI12.ALTI.BI12.BI15.BIO4.BIO4.BIO4.BIO4.ALTI.BI12.BIO4.BIO1"
39 50 50 5 "geo" 0.5 19 0 1 1000 17 "0.28_0.24_0.1_0.16_0.21_0.29_0.28_0.3_0.25_0.16_0.12_0.11_0.21_0.28_0.13_0.13_0.21" "0.1_0.02_0.4_0_0.39_0.38_0.43_0.34_0.37_0.29_0.44_0.39_0.45_0.27_0.37_0.08_0.39" "BIO4.BIO1.ALTI.BI15.BIO4.BI15.ALTI.BI18.BI12.BIO1.BIO1.BIO2.ALTI.BI18.BI18.BI12.ALTI"
40 50 50 5 "geo" 0.5 20 0 1 1000 9 "0.18_0.25_0.14_0.11_0.3_0.18_0.15_0.3_0.27" "0.05_0.44_0.5_0.21_0.05_0.01_0.46_0.22_0.1" "BI18.BIO2.BIO8.BIO2.BIO2.BIO4.BI18.ALTI.BI12"
41 50 50 10 "ran" 0.5 1 0 1 1000 7 "0.23_0.3_0.2_0.28_0.26_0.15_0.13" "0.06_0.08_0.08_0.32_0.43_0.39_0.33" "BIO1.BI15.BI12.BIO2.BIO2.BIO2.BIO4"
42 50 50 10 "ran" 0.5 2 0 1 1000 10 "0.21_0.28_0.25_0.14_0.13_0.28_0.19_0.18_0.2_0.3" "0.02_0.47_0.33_0.23_0.09_0.1_0.14_0.1_0.42_0.45" "BI15.BIO1.ALTI.BIO1.BI18.BIO1.BIO2.BIO1.BI18.ALTI"
43 50 50 10 "ran" 0.5 3 0 1 1000 11 "0.13_0.23_0.29_0.13_0.21_0.25_0.24_0.23_0.27_0.27_0.24" "0.15_0.17_0.17_0.12_0.48_0.22_0.26_0.2_0.05_0.04_0.47" "BI18.BI12.BIO4.BIO2.BI15.BIO1.BIO1.BI18.BIO4.BIO4.BI18"
44 50 50 10 "ran" 0.5 4 0 1 1000 18 "0.23_0.14_0.26_0.18_0.21_0.12_0.24_0.23_0.22_0.1_0.2_0.29_0.24_0.3_0.23_0.25_0.11_0.12" "0.19_0.29_0.44_0.26_0.42_0.3_0.36_0.47_0.46_0.16_0.09_0.04_0.43_0.01_0.36_0.08_0.34_0.07" "BI15.BIO2.BIO4.BIO1.BI15.BIO4.BIO2.ALTI.BIO8.BI12.BIO1.BI15.BI15.BIO1.BIO1.BIO2.BIO8.BI15"
45 50 50 10 "ran" 0.5 5 0 1 1000 8 "0.22_0.18_0.15_0.27_0.23_0.17_0.25_0.24" "0.15_0.41_0.02_0.19_0.35_0.34_0.06_0.14" "BIO4.BI12.ALTI.BIO4.BIO2.BIO8.BIO4.BIO2"
46 50 50 10 "ran" 0.5 6 0 1 1000 11 "0.21_0.21_0.28_0.14_0.21_0.15_0.13_0.13_0.19_0.23_0.28" "0.38_0.39_0.26_0.13_0.11_0.35_0.06_0.28_0.02_0.5_0.21" "BIO4.BIO4.BI15.BI12.BI15.BIO4.ALTI.BIO1.BIO1.BI12.ALTI"
47 50 50 10 "ran" 0.5 7 0 1 1000 6 "0.13_0.17_0.28_0.2_0.28_0.28" "0.07_0.02_0.49_0.5_0.43_0.23" "BI12.BIO8.BIO1.BI15.BIO1.BI12"
48 50 50 10 "ran" 0.5 8 0 1 1000 9 "0.14_0.22_0.27_0.14_0.26_0.12_0.27_0.19_0.22" "0.29_0.42_0.18_0.48_0.25_0.02_0.33_0.46_0.11" "BIO4.BIO1.BI12.BIO4.BIO4.BIO8.BIO4.BIO1.BI15"
49 50 50 10 "ran" 0.5 9 0 1 1000 20 "0.1_0.2_0.3_0.26_0.15_0.14_0.2_0.13_0.2_0.22_0.27_0.13_0.28_0.24_0.29_0.25_0.16_0.2_0.22_0.16" "0.32_0.02_0.24_0.08_0.25_0.46_0.09_0.11_0.26_0.01_0.14_0_0.41_0.46_0.12_0.28_0.3_0.1_0.42_0.44" "BIO2.BIO1.BI18.BI15.ALTI.BIO2.BIO1.BI18.BIO4.BIO8.BIO8.BIO4.BIO1.BIO2.BIO2.BIO1.BIO2.ALTI.BI15.ALTI"
50 50 50 10 "ran" 0.5 10 0 1 1000 6 "0.1_0.15_0.17_0.27_0.1_0.16" "0.1_0.38_0.39_0.1_0.36_0.27" "BIO1.BIO4.BI18.BIO8.BI12.BIO1"
51 50 50 10 "ran" 0.5 11 0 1 1000 20 "0.19_0.13_0.28_0.17_0.14_0.11_0.14_0.22_0.24_0.22_0.28_0.26_0.26_0.1_0.23_0.12_0.15_0.14_0.26_0.29" "0.33_0.24_0.03_0.16_0.46_0.32_0.3_0.15_0.26_0.28_0.36_0.2_0.3_0.04_0_0.12_0.23_0.29_0_0.18" "ALTI.BI18.ALTI.BIO2.ALTI.BI15.ALTI.BIO4.BIO8.BI15.BI12.ALTI.BI15.BIO8.BI15.BIO1.ALTI.BIO4.BIO2.BI15"
52 50 50 10 "ran" 0.5 12 0 1 1000 5 "0.25_0.29_0.29_0.16_0.15" "0.19_0.04_0.22_0.18_0.2" "BIO4.ALTI.BIO1.BIO4.BIO8"
53 50 50 10 "ran" 0.5 13 0 1 1000 6 "0.27_0.27_0.2_0.17_0.11_0.12" "0.25_0.36_0.43_0.35_0.45_0.26" "ALTI.BI12.ALTI.BI18.BI18.BIO8"
54 50 50 10 "ran" 0.5 14 0 1 1000 17 "0.22_0.27_0.18_0.28_0.19_0.23_0.3_0.11_0.28_0.16_0.25_0.24_0.16_0.23_0.19_0.29_0.25" "0.46_0.36_0.29_0.27_0.38_0.34_0.35_0.01_0.03_0.47_0.25_0.29_0.44_0.48_0.1_0.47_0.12" "BI15.BIO8.ALTI.BIO2.BI15.BI12.BI12.BIO4.ALTI.ALTI.BI15.BIO4.BIO4.BI18.BIO2.BI18.BI12"
55 50 50 10 "ran" 0.5 15 0 1 1000 5 "0.11_0.22_0.11_0.17_0.15" "0.01_0.37_0.23_0_0.34" "ALTI.BIO1.BI15.ALTI.BI12"
56 50 50 10 "ran" 0.5 16 0 1 1000 9 "0.14_0.13_0.16_0.19_0.23_0.12_0.15_0.17_0.19" "0.21_0.22_0.14_0.27_0.37_0.14_0.19_0.45_0.04" "BIO1.BIO1.BI15.BI18.BI12.BIO2.ALTI.BIO8.BI18"
57 50 50 10 "ran" 0.5 17 0 1 1000 19 "0.17_0.12_0.16_0.11_0.11_0.28_0.27_0.16_0.12_0.1_0.24_0.13_0.19_0.22_0.22_0.13_0.27_0.29_0.21" "0.13_0.17_0.18_0.36_0.45_0.35_0.06_0.24_0.15_0.28_0.3_0.07_0.26_0.44_0.26_0.19_0.16_0.27_0.11" "BIO8.BI18.BIO8.BI18.ALTI.BIO4.BI15.BI15.BIO1.BI15.BIO1.BIO8.BIO4.ALTI.BIO1.ALTI.BI12.BIO4.BIO2"
58 50 50 10 "ran" 0.5 18 0 1 1000 16 "0.19_0.15_0.22_0.28_0.29_0.28_0.19_0.19_0.16_0.14_0.14_0.13_0.12_0.21_0.24_0.19" "0.27_0.37_0.31_0.06_0.48_0_0.42_0.33_0.02_0.26_0.43_0.49_0_0.31_0.28_0.03" "BIO1.BIO8.BIO2.BI18.BIO2.BI12.ALTI.ALTI.BI18.BIO8.BIO1.ALTI.BIO1.BI18.BIO2.BIO4"
59 50 50 10 "ran" 0.5 19 0 1 1000 13 "0.11_0.28_0.18_0.15_0.12_0.26_0.21_0.19_0.27_0.21_0.25_0.16_0.28" "0.48_0.01_0.1_0.14_0.19_0.03_0.28_0.28_0.03_0.14_0.04_0.33_0.33" "ALTI.BI18.BI18.BI15.BI15.BI15.ALTI.BI18.BI12.BIO1.BI12.BI15.BIO4"
60 50 50 10 "ran" 0.5 20 0 1 1000 9 "0.18_0.13_0.2_0.11_0.26_0.16_0.29_0.14_0.29" "0.26_0.22_0.06_0.05_0_0.04_0.19_0.23_0.01" "BIO1.BIO8.BI15.BI15.BI18.BI12.BIO1.ALTI.BI12"
61 50 50 10 "geo" 0.5 1 0 1 1000 8 "0.27_0.26_0.16_0.26_0.23_0.24_0.28_0.2" "0.13_0.28_0.22_0.03_0.36_0.34_0.03_0.4" "ALTI.ALTI.BIO8.BI15.BI12.ALTI.BIO1.BIO2"
62 50 50 10 "geo" 0.5 2 0 1 1000 19 "0.28_0.28_0.14_0.3_0.19_0.26_0.14_0.13_0.16_0.27_0.13_0.26_0.17_0.12_0.18_0.22_0.24_0.19_0.1" "0.25_0.4_0.01_0.22_0.35_0.4_0.37_0.04_0.12_0.31_0_0.22_0.06_0.07_0.42_0_0.44_0.4_0.01" "BI18.BIO1.BI15.BIO8.BI15.BI15.BIO2.ALTI.BI12.BIO2.BIO4.BIO2.BIO2.BI12.BI15.BI15.BI12.BIO4.BI18"
63 50 50 10 "geo" 0.5 3 0 1 1000 9 "0.18_0.15_0.11_0.25_0.1_0.22_0.25_0.13_0.13" "0.36_0.19_0.46_0.26_0.48_0.32_0.36_0_0.41" "ALTI.BIO4.BIO2.BIO8.BI18.ALTI.BIO2.BIO1.BIO2"
64 50 50 10 "geo" 0.5 4 0 1 1000 5 "0.14_0.29_0.23_0.12_0.14" "0.24_0.48_0_0.45_0.13" "BI15.BIO2.ALTI.BIO4.BI15"
65 50 50 10 "geo" 0.5 5 0 1 1000 17 "0.19_0.1_0.26_0.11_0.14_0.11_0.28_0.1_0.1_0.14_0.17_0.22_0.12_0.23_0.26_0.19_0.2" "0.3_0.36_0.39_0.04_0.31_0.18_0.25_0.34_0.28_0.28_0.27_0.43_0.29_0.43_0.09_0.17_0.24" "BI15.BI12.BI12.BI18.BIO1.BI15.BI15.BIO8.BIO1.ALTI.BIO8.BI15.BI12.BIO1.BIO8.BIO1.BI12"
66 50 50 10 "geo" 0.5 6 0 1 1000 14 "0.19_0.12_0.26_0.15_0.22_0.12_0.25_0.21_0.13_0.16_0.14_0.1_0.21_0.16" "0.27_0.32_0.47_0.49_0.28_0.39_0_0.35_0.3_0.23_0.22_0.44_0.11_0.14" "BIO1.BI12.ALTI.BIO1.ALTI.BIO8.BIO8.BIO4.BIO4.BIO8.BIO8.BI15.BI18.BI18"
67 50 50 10 "geo" 0.5 7 0 1 1000 17 "0.12_0.23_0.29_0.16_0.18_0.21_0.15_0.26_0.23_0.21_0.19_0.23_0.14_0.13_0.24_0.21_0.29" "0.44_0.23_0.24_0.37_0.06_0.5_0.36_0.24_0.29_0.27_0.39_0.41_0.24_0.26_0.28_0.21_0.46" "BI15.BIO8.BIO1.BI12.ALTI.BI12.BI15.ALTI.ALTI.BIO1.ALTI.BIO4.BIO1.BI15.BI15.BIO1.ALTI"
68 50 50 10 "geo" 0.5 8 0 1 1000 12 "0.14_0.22_0.1_0.29_0.27_0.22_0.26_0.13_0.28_0.18_0.17_0.21" "0.29_0.27_0.21_0.45_0.3_0.11_0.48_0.43_0.43_0.05_0.07_0.12" "BI15.BI18.ALTI.BIO4.ALTI.BIO2.BI15.ALTI.BIO2.BI12.ALTI.BI18"
69 50 50 10 "geo" 0.5 9 0 1 1000 18 "0.26_0.24_0.3_0.3_0.19_0.14_0.29_0.23_0.24_0.19_0.1_0.17_0.22_0.27_0.13_0.19_0.18_0.2" "0.12_0.19_0.19_0.29_0.07_0.04_0.26_0.06_0.26_0.07_0.19_0.13_0.02_0.09_0.33_0.36_0.2_0.16" "BIO2.BIO8.ALTI.BIO2.BIO8.BI15.BI15.BIO2.BIO2.BI12.ALTI.BIO4.BIO8.ALTI.BI18.BIO2.BIO1.BIO2"
70 50 50 10 "geo" 0.5 10 0 1 1000 10 "0.19_0.13_0.22_0.24_0.29_0.23_0.14_0.17_0.21_0.11" "0_0.13_0.04_0.25_0.18_0.02_0.47_0.17_0.41_0.18" "BI15.ALTI.BI15.BIO2.BIO2.BIO2.BIO2.BIO8.BI18.BIO4"
71 50 50 10 "geo" 0.5 11 0 1 1000 15 "0.12_0.16_0.29_0.26_0.17_0.27_0.22_0.13_0.3_0.29_0.15_0.1_0.25_0.27_0.3" "0.12_0.26_0.05_0.18_0.33_0.28_0.29_0.39_0.24_0.38_0.3_0.41_0.43_0.19_0.08" "BI18.BIO8.BIO4.BIO4.BI15.BIO4.BI15.BIO1.ALTI.BI12.BIO8.BIO8.BIO1.BIO4.BIO2"
